qa,qb,name_a,arr_a,name_b,arr_b,n_collisions,shape,extent_m,az_deg,centroid_lat,centroid_lng,median_d_a_m,median_d_b_m,asymmetry_median,highway_types,density_per_100m
240,244,Missité,5ème Arrondissement,Avlékété-Joncquet,5ème Arrondissement,1,point,0.0,,6.361364,2.429886,255.0,283.0,0.099,residential,
240,244,Missité,5ème Arrondissement,Avlékété-Joncquet,5ème Arrondissement,1,point,0.0,,6.359886,2.433314,277.5,246.6,0.111,tertiary,
240,244,Missité,5ème Arrondissement,Avlékété-Joncquet,5ème Arrondissement,1,point,0.0,,6.36075,2.433467,277.5,249.3,0.102,residential,
255,283,Énagnon-Sikê,7ème Arrondissement,Sèhogan-Sikê,7ème Arrondissement,4,linear_corridor,100.7,141.7,6.369595,2.41783,197.3,43.1,0.781,residential|secondary|unclassified,3.97
255,283,Énagnon-Sikê,7ème Arrondissement,Sèhogan-Sikê,7ème Arrondissement,2,intersection,17.4,68.3,6.370857,2.416744,10.9,229.6,0.953,primary|residential|secondary,11.52
255,283,Énagnon-Sikê,7ème Arrondissement,Sèhogan-Sikê,7ème Arrondissement,3,linear_corridor,71.4,50.5,6.37068,2.417455,97.4,221.2,0.56,primary|residential|secondary,4.2
255,283,Énagnon-Sikê,7ème Arrondissement,Sèhogan-Sikê,7ème Arrondissement,1,point,0.0,,6.37141,2.416396,88.6,285.5,0.69,residential|secondary,
255,283,Énagnon-Sikê,7ème Arrondissement,Sèhogan-Sikê,7ème Arrondissement,3,linear_corridor,56.9,51.6,6.370826,2.418603,215.6,248.4,0.132,primary|residential,5.27
255,283,Énagnon-Sikê,7ème Arrondissement,Sèhogan-Sikê,7ème Arrondissement,1,point,0.0,,6.368988,2.416236,294.2,281.0,0.045,residential,
5,283,Yévèdo,7ème Arrondissement,Sèhogan-Sikê,7ème Arrondissement,1,point,0.0,,6.368675,2.41856,252.8,83.5,0.669,residential|secondary,
5,283,Yévèdo,7ème Arrondissement,Sèhogan-Sikê,7ème Arrondissement,1,point,0.0,,6.36748,2.419508,83.6,252.7,0.669,residential|secondary,
5,283,Yévèdo,7ème Arrondissement,Sèhogan-Sikê,7ème Arrondissement,1,point,0.0,,6.368085,2.419028,169.2,167.1,0.012,residential|secondary,
5,283,Yévèdo,7ème Arrondissement,Sèhogan-Sikê,7ème Arrondissement,1,point,0.0,,6.367436,2.418214,284.5,282.5,0.007,residential,
5,97,Yévèdo,7ème Arrondissement,Gbènan,7ème Arrondissement,1,point,0.0,,6.36826,2.421703,244.3,272.0,0.102,residential,
5,97,Yévèdo,7ème Arrondissement,Gbènan,7ème Arrondissement,2,intersection,22.1,138.4,6.365043,2.421434,261.1,254.0,0.027,residential|secondary,9.06
32,98,Todoté,7ème Arrondissement,Gbèdomidji,7ème Arrondissement,1,point,0.0,,6.362325,2.420587,169.7,261.2,0.35,residential|trunk,
32,98,Todoté,7ème Arrondissement,Gbèdomidji,7ème Arrondissement,1,point,0.0,,6.364283,2.420648,164.4,287.6,0.429,residential,
32,98,Todoté,7ème Arrondissement,Gbèdomidji,7ème Arrondissement,1,point,0.0,,6.362016,2.421256,261.7,294.8,0.112,residential|service,
32,98,Todoté,7ème Arrondissement,Gbèdomidji,7ème Arrondissement,1,point,0.0,,6.364968,2.4215,285.5,166.4,0.417,residential|secondary,
97,154,Gbènan,7ème Arrondissement,Mifongou,5ème Arrondissement,1,point,0.0,,6.365148,2.424147,167.0,212.8,0.215,residential,
97,154,Gbènan,7ème Arrondissement,Mifongou,5ème Arrondissement,1,point,0.0,,6.365753,2.423672,81.7,298.1,0.726,residential,
97,154,Gbènan,7ème Arrondissement,Mifongou,5ème Arrondissement,1,point,0.0,,6.364624,2.424559,240.9,138.9,0.423,residential,
97,98,Gbènan,7ème Arrondissement,Gbèdomidji,7ème Arrondissement,1,point,0.0,,6.365148,2.424147,167.0,242.1,0.31,residential,
97,98,Gbènan,7ème Arrondissement,Gbèdomidji,7ème Arrondissement,1,point,0.0,,6.365647,2.422356,122.0,287.5,0.576,residential,
97,98,Gbènan,7ème Arrondissement,Gbèdomidji,7ème Arrondissement,2,intersection,22.1,138.4,6.365043,2.421434,254.0,177.5,0.301,residential|secondary,9.06
97,98,Gbènan,7ème Arrondissement,Gbèdomidji,7ème Arrondissement,3,linear_corridor,54.1,138.5,6.36503,2.423025,201.7,234.8,0.141,residential|service,5.54
62,71,Vodjè-Centre,11ème Arrondissement,Cadjèhoun-Détinsa,12ème Arrondissement,6,intersection,97.7,121.8,6.367516,2.404061,169.6,68.6,0.596,residential|secondary,6.14
62,71,Vodjè-Centre,11ème Arrondissement,Cadjèhoun-Détinsa,12ème Arrondissement,2,intersection,33.7,56.2,6.366713,2.40474,271.2,60.5,0.777,residential|secondary,5.94
62,71,Vodjè-Centre,11ème Arrondissement,Cadjèhoun-Détinsa,12ème Arrondissement,16,linear_corridor,149.1,120.7,6.368688,2.403023,44.2,234.6,0.812,residential|secondary,10.73
71,118,Cadjèhoun-Détinsa,12ème Arrondissement,Vodjè-Allobatin,11ème Arrondissement,2,intersection,17.8,141.5,6.368178,2.405577,163.2,184.3,0.114,secondary,11.26
71,118,Cadjèhoun-Détinsa,12ème Arrondissement,Vodjè-Allobatin,11ème Arrondissement,1,point,0.0,,6.367682,2.405973,212.9,242.1,0.12,residential|secondary,
122,217,Agontinkon,8ème Arrondissement,Houéhoun,8ème Arrondissement,2,intersection,16.7,142.1,6.378472,2.408828,197.4,177.3,0.102,secondary,11.97
122,217,Agontinkon,8ème Arrondissement,Houéhoun,8ème Arrondissement,1,point,0.0,,6.377775,2.409206,245.4,269.2,0.088,residential,
215,273,Dagbédji-Sikê,7ème Arrondissement,Saint-Jean-Gbèdiga,11ème Arrondissement,1,point,0.0,,6.367916,2.413946,268.1,144.4,0.461,residential|trunk,
215,273,Dagbédji-Sikê,7ème Arrondissement,Saint-Jean-Gbèdiga,11ème Arrondissement,2,intersection,30.4,51.1,6.368712,2.41301,132.3,280.2,0.528,residential,6.58
215,273,Dagbédji-Sikê,7ème Arrondissement,Saint-Jean-Gbèdiga,11ème Arrondissement,2,intersection,29.5,47.1,6.368329,2.413472,198.8,213.8,0.07,residential,6.77
273,283,Saint-Jean-Gbèdiga,11ème Arrondissement,Sèhogan-Sikê,7ème Arrondissement,2,intersection,26.9,136.1,6.368343,2.416758,243.6,191.4,0.214,residential|unclassified,7.44
56,245,Sodjatinmè-Ouest,4ème Arrondissement,Gbèdjèwin,4ème Arrondissement,1,point,0.0,,6.369876,2.446833,283.5,0.0,1.0,residential|secondary|unclassified,
56,245,Sodjatinmè-Ouest,4ème Arrondissement,Gbèdjèwin,4ème Arrondissement,4,linear_corridor,73.6,133.6,6.36943,2.448802,138.5,150.7,0.081,residential|tertiary,5.43
56,245,Sodjatinmè-Ouest,4ème Arrondissement,Gbèdjèwin,4ème Arrondissement,1,point,0.0,,6.370601,2.447907,289.2,68.9,0.762,residential|tertiary,
56,245,Sodjatinmè-Ouest,4ème Arrondissement,Gbèdjèwin,4ème Arrondissement,1,point,0.0,,6.368576,2.449549,0.0,283.5,1.0,tertiary,
56,245,Sodjatinmè-Ouest,4ème Arrondissement,Gbèdjèwin,4ème Arrondissement,1,point,0.0,,6.370092,2.448324,216.2,141.9,0.344,residential|tertiary,
202,245,Abokicodji-Centre,4ème Arrondissement,Gbèdjèwin,4ème Arrondissement,2,intersection,15.2,45.8,6.368175,2.446829,208.8,97.3,0.534,residential|secondary,13.2
202,245,Abokicodji-Centre,4ème Arrondissement,Gbèdjèwin,4ème Arrondissement,2,intersection,15.1,52.7,6.366482,2.446823,21.2,285.5,0.926,secondary|tertiary,13.26
202,245,Abokicodji-Centre,4ème Arrondissement,Gbèdjèwin,4ème Arrondissement,1,point,0.0,,6.36739,2.446823,121.6,184.5,0.341,residential|secondary,
202,245,Abokicodji-Centre,4ème Arrondissement,Gbèdjèwin,4ème Arrondissement,1,point,0.0,,6.366945,2.446437,87.6,243.1,0.64,residential|tertiary,
202,245,Abokicodji-Centre,4ème Arrondissement,Gbèdjèwin,4ème Arrondissement,1,point,0.0,,6.367445,2.446033,158.9,210.0,0.243,residential|tertiary,
202,245,Abokicodji-Centre,4ème Arrondissement,Gbèdjèwin,4ème Arrondissement,1,point,0.0,,6.367908,2.44566,224.8,256.3,0.123,residential|tertiary,
172,245,Misséssin,4ème Arrondissement,Gbèdjèwin,4ème Arrondissement,1,point,0.0,,6.370174,2.445376,276.1,90.6,0.672,residential,
172,245,Misséssin,4ème Arrondissement,Gbèdjèwin,4ème Arrondissement,1,point,0.0,,6.368932,2.444834,213.0,193.8,0.09,residential|tertiary,
172,245,Misséssin,4ème Arrondissement,Gbèdjèwin,4ème Arrondissement,1,point,0.0,,6.369937,2.444023,69.8,297.0,0.765,residential|tertiary,
172,245,Misséssin,4ème Arrondissement,Gbèdjèwin,4ème Arrondissement,1,point,0.0,,6.369423,2.444437,143.0,223.8,0.361,residential|tertiary,
172,245,Misséssin,4ème Arrondissement,Gbèdjèwin,4ème Arrondissement,1,point,0.0,,6.368436,2.445234,283.8,181.1,0.362,tertiary|unclassified,
172,245,Misséssin,4ème Arrondissement,Gbèdjèwin,4ème Arrondissement,1,point,0.0,,6.371788,2.445405,248.1,289.0,0.141,primary|residential,
56,202,Sodjatinmè-Ouest,4ème Arrondissement,Abokicodji-Centre,4ème Arrondissement,1,point,0.0,,6.367034,2.447717,265.2,123.0,0.536,residential|tertiary,
50,269,Minontchou,2ème Arrondissement,Agbodjèdo,3ème Arrondissement,5,linear_corridor,151.9,93.5,6.393017,2.4485,148.5,159.4,0.069,residential|tertiary,3.29
50,269,Minontchou,2ème Arrondissement,Agbodjèdo,3ème Arrondissement,2,linear_corridor,52.2,110.6,6.393009,2.449909,29.5,278.3,0.894,residential|tertiary,3.83
50,269,Minontchou,2ème Arrondissement,Agbodjèdo,3ème Arrondissement,1,point,0.0,,6.393959,2.448074,299.7,210.0,0.299,residential,
50,269,Minontchou,2ème Arrondissement,Agbodjèdo,3ème Arrondissement,1,point,0.0,,6.391815,2.448567,282.8,289.9,0.024,residential,
50,269,Minontchou,2ème Arrondissement,Agbodjèdo,3ème Arrondissement,1,point,0.0,,6.394171,2.448574,266.3,277.2,0.04,residential,
207,301,Gbèdagba,8ème Arrondissement,Gbèdjromèdè-Nord,6ème Arrondissement,2,intersection,17.1,138.5,6.383236,2.414853,199.2,159.3,0.201,residential|secondary,11.7
207,301,Gbèdagba,8ème Arrondissement,Gbèdjromèdè-Nord,6ème Arrondissement,1,point,0.0,,6.382649,2.415358,283.2,231.5,0.183,residential,
207,301,Gbèdagba,8ème Arrondissement,Gbèdjromèdè-Nord,6ème Arrondissement,1,point,0.0,,6.383767,2.414449,256.1,229.9,0.102,residential,
37,80,Vodjè-Finagnon,11ème Arrondissement,Vodjè-Ayidoté,11ème Arrondissement,1,point,0.0,,6.373635,2.402743,299.1,65.2,0.782,residential|tertiary,
215,255,Dagbédji-Sikê,7ème Arrondissement,Énagnon-Sikê,7ème Arrondissement,2,intersection,37.8,51.2,6.371201,2.414281,274.1,258.6,0.057,primary|residential,5.29
254,302,Yolomahouto,Godomey,Hlouacomey,Godomey,46,intersection,389.4,150.6,6.39202,2.347378,199.2,180.8,0.093,residential|service|tertiary|trunk|unclassified,11.81
248,302,"Nonhouénou
",Godomey,Hlouacomey,Godomey,26,linear_corridor,362.6,127.5,6.393439,2.346812,228.4,121.8,0.467,residential|secondary|tertiary|trunk|unclassified,7.17
248,302,"Nonhouénou
",Godomey,Hlouacomey,Godomey,1,point,0.0,,6.393321,2.345631,176.3,249.1,0.292,residential,
248,302,"Nonhouénou
",Godomey,Hlouacomey,Godomey,1,point,0.0,,6.394138,2.347135,278.4,290.2,0.041,residential,
248,254,"Nonhouénou
",Godomey,Yolomahouto,Godomey,14,intersection,170.9,161.6,6.393086,2.346871,239.1,250.6,0.046,residential|tertiary|trunk|unclassified,8.19
103,195,"Aïmèvo
",Godomey,Salamey,Godomey,6,linear_corridor,124.1,127.1,6.389887,2.342806,178.9,246.2,0.274,residential|secondary,4.84
103,195,"Aïmèvo
",Godomey,Salamey,Godomey,3,linear_corridor,61.0,-160.7,6.391519,2.34251,281.0,64.3,0.771,residential|secondary,4.92
103,195,"Aïmèvo
",Godomey,Salamey,Godomey,1,point,0.0,,6.389784,2.341877,145.1,291.8,0.503,residential,
103,195,"Aïmèvo
",Godomey,Salamey,Godomey,1,point,0.0,,6.391135,2.342973,291.8,157.1,0.462,residential,
67,168,Sètôvi,10ème Arrondissement,Missogbé,10ème Arrondissement,3,linear_corridor,110.7,178.8,6.38069,2.390022,235.5,191.0,0.189,residential,2.71
67,168,Sètôvi,10ème Arrondissement,Missogbé,10ème Arrondissement,3,linear_corridor,51.9,95.7,6.381085,2.390779,261.1,52.2,0.8,residential,5.79
67,168,Sètôvi,10ème Arrondissement,Missogbé,10ème Arrondissement,3,intersection,48.4,86.5,6.380721,2.389213,181.1,278.6,0.35,residential,6.2
122,166,Agontinkon,8ème Arrondissement,Agbondjèdo,8ème Arrondissement,1,point,0.0,,6.37683,2.408011,76.8,261.0,0.706,residential,
122,166,Agontinkon,8ème Arrondissement,Agbondjèdo,8ème Arrondissement,1,point,0.0,,6.375437,2.409092,272.5,65.3,0.76,residential,
122,166,Agontinkon,8ème Arrondissement,Agbondjèdo,8ème Arrondissement,1,point,0.0,,6.375908,2.408754,208.1,129.7,0.377,residential,
122,166,Agontinkon,8ème Arrondissement,Agbondjèdo,8ème Arrondissement,1,point,0.0,,6.376361,2.408381,143.1,194.7,0.265,residential,
196,278,Aïdjèdo-Vignon,6ème Arrondissement,Hindé-Nord,6ème Arrondissement,1,point,0.0,,6.377085,2.429185,98.3,272.5,0.639,residential,
196,278,Aïdjèdo-Vignon,6ème Arrondissement,Hindé-Nord,6ème Arrondissement,3,bridge,0.0,,6.376786,2.430186,197.0,173.8,0.118,residential,
196,278,Aïdjèdo-Vignon,6ème Arrondissement,Hindé-Nord,6ème Arrondissement,1,point,0.0,,6.379178,2.430408,296.9,236.8,0.203,residential,
196,278,Aïdjèdo-Vignon,6ème Arrondissement,Hindé-Nord,6ème Arrondissement,1,point,0.0,,6.376195,2.430508,238.8,215.8,0.096,residential,
61,255,Fignon-Sikê,7ème Arrondissement,Énagnon-Sikê,7ème Arrondissement,1,point,0.0,,6.372432,2.417688,299.4,271.0,0.095,residential,
7,278,Hindé-Sud,6ème Arrondissement,Hindé-Nord,6ème Arrondissement,1,point,0.0,,6.375506,2.433302,79.1,268.9,0.706,residential,
7,278,Hindé-Sud,6ème Arrondissement,Hindé-Nord,6ème Arrondissement,1,point,0.0,,6.3767,2.432361,247.7,100.3,0.595,residential,
7,278,Hindé-Sud,6ème Arrondissement,Hindé-Nord,6ème Arrondissement,1,point,0.0,,6.376105,2.43283,163.7,184.3,0.112,residential,
105,158,Missité,13ème Arrondissement,Houénoussou,13ème Arrondissement,2,intersection,26.8,-157.6,6.366555,2.391289,287.5,9.8,0.966,residential|secondary,7.46
105,158,Missité,13ème Arrondissement,Houénoussou,13ème Arrondissement,3,linear_corridor,59.8,-141.6,6.365875,2.390126,192.3,153.7,0.201,residential|secondary,5.01
105,158,Missité,13ème Arrondissement,Houénoussou,13ème Arrondissement,2,intersection,18.3,-153.0,6.366218,2.38878,9.2,286.9,0.968,residential|secondary,10.93
105,158,Missité,13ème Arrondissement,Houénoussou,13ème Arrondissement,2,linear_corridor,58.3,-163.4,6.365882,2.389373,101.0,223.0,0.547,residential|secondary,3.43
105,158,Missité,13ème Arrondissement,Houénoussou,13ème Arrondissement,2,intersection,46.9,53.1,6.367598,2.390556,259.2,166.6,0.357,residential,4.27
105,158,Missité,13ème Arrondissement,Houénoussou,13ème Arrondissement,1,point,0.0,,6.366824,2.39028,197.7,182.8,0.075,residential,
158,235,Houénoussou,13ème Arrondissement,Houéyihô,11ème Arrondissement,20,intersection,265.1,156.4,6.367643,2.392564,211.2,235.8,0.104,residential|secondary|tertiary,7.54
163,198,Gbéto,5ème Arrondissement,Dota,5ème Arrondissement,1,point,0.0,,6.361859,2.427427,299.3,281.3,0.06,residential|tertiary,
163,198,Gbéto,5ème Arrondissement,Dota,5ème Arrondissement,1,point,0.0,,6.35813,2.426942,285.3,298.3,0.044,secondary|tertiary,
6,296,Nouveau-Pont,5ème Arrondissement,Bocossi-Tokpa,5ème Arrondissement,1,point,0.0,,6.36653,2.4334,284.7,241.1,0.153,residential|secondary,
6,296,Nouveau-Pont,5ème Arrondissement,Bocossi-Tokpa,5ème Arrondissement,1,point,0.0,,6.36994,2.433477,242.4,278.9,0.131,primary|residential,
42,259,Kpondéhou-Tchèmè,2ème Arrondissement,Ayélawadjè-Agongbomè,3ème Arrondissement,1,point,0.0,,6.38238,2.451583,214.8,212.3,0.012,residential|tertiary,
42,259,Kpondéhou-Tchèmè,2ème Arrondissement,Ayélawadjè-Agongbomè,3ème Arrondissement,1,point,0.0,,6.382384,2.450938,286.0,141.0,0.507,residential|tertiary,
42,259,Kpondéhou-Tchèmè,2ème Arrondissement,Ayélawadjè-Agongbomè,3ème Arrondissement,1,point,0.0,,6.383063,2.451586,284.7,282.2,0.009,residential,
42,259,Kpondéhou-Tchèmè,2ème Arrondissement,Ayélawadjè-Agongbomè,3ème Arrondissement,1,point,0.0,,6.38166,2.451574,287.9,286.4,0.005,residential,
183,194,Midombo,3ème Arrondissement,Adjégounlè,3ème Arrondissement,2,intersection,20.3,86.2,6.37495,2.444478,265.9,10.2,0.962,residential,9.85
183,194,Midombo,3ème Arrondissement,Adjégounlè,3ème Arrondissement,1,point,0.0,,6.375828,2.444578,158.7,97.0,0.389,residential,
183,194,Midombo,3ème Arrondissement,Adjégounlè,3ème Arrondissement,2,intersection,17.3,-168.3,6.377175,2.444577,8.7,247.0,0.965,residential|tertiary,11.53
183,194,Midombo,3ème Arrondissement,Adjégounlè,3ème Arrondissement,1,point,0.0,,6.376445,2.444583,90.1,165.6,0.456,residential,
183,194,Midombo,3ème Arrondissement,Adjégounlè,3ème Arrondissement,1,point,0.0,,6.375839,2.443296,283.5,232.4,0.18,residential,
114,151,Dédokpo,4ème Arrondissement,Abokicodji-Lagune,4ème Arrondissement,1,point,0.0,,6.365193,2.442255,260.3,79.0,0.697,residential|secondary,
114,151,Dédokpo,4ème Arrondissement,Abokicodji-Lagune,4ème Arrondissement,1,point,0.0,,6.367299,2.442323,50.7,288.6,0.824,residential|secondary,
114,151,Dédokpo,4ème Arrondissement,Abokicodji-Lagune,4ème Arrondissement,4,linear_corridor,85.6,-174.2,6.366317,2.442157,153.1,186.2,0.178,residential|secondary|unclassified,4.67
193,245,Gbénonkpô,3ème Arrondissement,Gbèdjèwin,4ème Arrondissement,1,point,0.0,,6.369937,2.444023,246.9,297.0,0.169,residential|tertiary,
114,172,Dédokpo,4ème Arrondissement,Misséssin,4ème Arrondissement,3,linear_corridor,62.5,173.9,6.37023,2.442775,251.2,137.6,0.452,residential|secondary,4.8
114,172,Dédokpo,4ème Arrondissement,Misséssin,4ème Arrondissement,1,point,0.0,,6.369423,2.444437,282.7,143.0,0.494,residential|tertiary,
114,172,Dédokpo,4ème Arrondissement,Misséssin,4ème Arrondissement,1,point,0.0,,6.368232,2.442528,46.5,291.7,0.841,residential|secondary,
114,172,Dédokpo,4ème Arrondissement,Misséssin,4ème Arrondissement,2,linear_corridor,52.4,-170.9,6.36904,2.44267,137.7,200.5,0.313,residential|secondary,3.82
114,193,Dédokpo,4ème Arrondissement,Gbénonkpô,3ème Arrondissement,3,linear_corridor,62.5,173.9,6.37023,2.442775,251.2,161.9,0.355,residential|secondary,4.8
114,193,Dédokpo,4ème Arrondissement,Gbénonkpô,3ème Arrondissement,1,point,0.0,,6.369273,2.442707,163.9,249.1,0.342,residential|secondary,
114,245,Dédokpo,4ème Arrondissement,Gbèdjèwin,4ème Arrondissement,1,point,0.0,,6.369423,2.444437,282.7,223.8,0.208,residential|tertiary,
108,132,Adôgléta,3ème Arrondissement,Hlacômey,3ème Arrondissement,3,linear_corridor,69.5,-165.7,6.386235,2.440545,39.3,278.4,0.859,residential|secondary,4.32
108,132,Adôgléta,3ème Arrondissement,Hlacômey,3ème Arrondissement,1,point,0.0,,6.387875,2.440775,227.2,90.5,0.602,residential|secondary,
108,132,Adôgléta,3ème Arrondissement,Hlacômey,3ème Arrondissement,4,linear_corridor,109.3,-171.7,6.387176,2.440052,228.3,222.0,0.028,residential,3.66
108,132,Adôgléta,3ème Arrondissement,Hlacômey,3ème Arrondissement,1,point,0.0,,6.387249,2.440714,157.3,160.4,0.02,residential|secondary,
81,164,Godomey-Togoudo,Godomey,Sèdomey,Godomey,2,intersection,40.3,-174.8,6.404117,2.341343,279.0,52.3,0.813,tertiary,4.96
81,164,Godomey-Togoudo,Godomey,Sèdomey,Godomey,1,point,0.0,,6.401837,2.341379,43.0,288.3,0.851,residential|tertiary|trunk,
81,164,Godomey-Togoudo,Godomey,Sèdomey,Godomey,10,linear_corridor,198.4,123.3,6.403039,2.341061,190.4,204.5,0.069,residential|tertiary|trunk,5.04
